sample,BTG3,CD69,CXCR1,CXCR2,FCGR3A,JUN,STEAP4,groups
1_EDTA pre T0,6.13666666666667,8.40666666666667,-0.793333333333334,-1.18333333333333,-3.46333333333333,5.31666666666667,0.676666666666666,1
2_EDTA pre T0,6.14333333333333,8.05333333333333,-1.15666666666667,-0.976666666666666,-3.06666666666667,3.85333333333333,0.263333333333334,1
3_EDTA preT0,6.54666666666667,7.97666666666667,-1.25333333333333,-1.09333333333333,-2.61333333333333,5.12666666666667,-0.143333333333333,1
4_EDTA pre T0,5.81666666666667,8.46666666666667,-0.433333333333334,-0.653333333333334,-2.52333333333333,3.79666666666667,0.736666666666666,1
5_EDTA pre T0,6.36666666666667,7.36666666666667,-1.22333333333333,-1.19333333333333,-3.20333333333333,4.57666666666667,-0.113333333333334,1
6_EDTA pre T0,6.68,8.01,-1.22,-1.41,-3.13,4.28,0.320000000000001,1
7_EDTA pre T0,6.04,6.39,-0.739999999999998,-1.18,-2.53,4.34,0.580000000000002,1
1 EDTA val T0,5.48,6.92,-1.51,-0.85,-3.65,3.15,-0.31,1
2 EDTA val T0,4.48333333333333,7.78333333333333,-1.16666666666667,0.49333333333333,-2.65666666666667,1.38333333333333,-0.40666666666667,1
3 EDTA val T0,5.01,6.53,-1.83,-1.32,-3.42,2.81,-0.0799999999999999,1
4 EDTA val T0,3.15666666666667,4.92666666666667,1.82666666666667,-1.07333333333333,-3.23333333333333,0.376666666666666,-0.793333333333334,1
5 EDTA val T0,5.53,6.82,-2.17,-1.29,-3.7,2.32,-0.86,1
6 EDTA val T0,5.01,5.83,-1.32,-0.43,-3.5,2.01,-0.14,1
7 EDTA val T0,4.09,6.09,0.28,-1.22,-3.73,1.58,-1.16,1
8 EDTA val T0,3.85333333333333,5.96333333333333,2.58333333333333,-1.27666666666667,-2.97666666666667,1.11333333333333,-0.616666666666666,1
9 EDTA val T0,5.25,6.49,-1.52,-0.75,-3.36,2.26,-0.46,1
10 EDTA val T0,4.50666666666667,5.48666666666667,-2.14333333333333,-0.913333333333334,-3.44333333333333,1.56666666666667,-0.833333333333334,1
11 EDTA val T0,5.18,5.82,-1.11,-0.24,-2.95,3.14,-0.0200000000000005,1
12 EDTA val T0,4.68,5.57,-1.66,-1.03,-3.43,2.04,-0.16,1
13 EDTA val T0,4.76333333333333,5.48333333333334,-1.27666666666667,-0.596666666666665,-3.35666666666667,2.16333333333333,-0.466666666666665,1
14 EDTA val T0,4.66666666666667,5.27666666666667,-1.81333333333333,-1.12333333333333,-3.57333333333333,1.12666666666667,-0.853333333333333,1
15 EDTA val T0,5.25666666666667,5.77666666666667,-1.67333333333333,-0.923333333333333,-4.24333333333333,2.20666666666667,-0.393333333333333,1
16 EDTA val T0,4.35,5.07,-1.99,-0.850000000000001,-3.51,1.28,0.0699999999999991,1
17 EDTA val T0,4.91,5.96,-2.5,-1.1,-3.56,1.22,-0.73,1
18 EDTA val T0,4.63666666666667,5.25666666666667,-1.67333333333333,-0.303333333333333,-3.12333333333333,1.64666666666667,0.146666666666667,1
19 EDTA val T0,5.29333333333333,6.07333333333333,-2.05666666666667,-0.836666666666667,-3.57666666666667,1.77333333333333,0.0433333333333326,1
20 EDTA val T0,3.94,4.69,-1.56,-0.85,-3.31,1.36,-0.349999999999999,1
21 EDTA val T0,3.81333333333333,5.14333333333333,-2.29666666666667,-1.52666666666667,-4.51666666666667,2.43333333333333,-1.69666666666667,1
22 EDTA val T0,4.38333333333333,5.01333333333333,-1.34666666666667,-0.826666666666668,-3.53666666666667,2.91333333333333,-0.756666666666668,1
23 EDTA val T0,4.8,5.15,-2.17,-0.969999999999999,-3.84,2.59,-0.779999999999999,1
24 EDTA val T0,4.27666666666667,4.93666666666667,-2.48333333333333,-1.48333333333333,-4.13333333333333,2.76666666666667,-0.793333333333333,1
25 EDTA val T0,4.88666666666667,5.95666666666667,-1.83333333333333,-0.613333333333335,-3.07333333333333,1.62666666666667,1.11666666666667,1
26 EDTA val T0,4.31666666666667,5.12666666666667,-1.66333333333333,-1.17333333333333,-4.96333333333333,2.29666666666667,-1.35333333333333,1
27 EDTA val T0,4.43,4.69,-1.16,-0.33,-2.9,1.37,-0.37,1
28 EDTA val T0,4.36333333333334,4.75333333333333,-2.11666666666667,-0.946666666666665,-3.85666666666667,0.573333333333335,-0.696666666666665,1
29 EDTA val T0,4.23333333333333,5.14333333333333,-1.12666666666667,-1.48666666666667,-3.80666666666667,1.31333333333333,-1.57666666666667,1
30 EDTA val T0,5.01666666666667,6.08666666666667,-1.43333333333333,0.216666666666668,-3.10333333333333,1.40666666666667,0.496666666666668,1
31 EDTA val T0,4.56,4.5,-1.41,-0.299999999999999,-3.42,2.94,-0.4,1
32 EDTA val T0,4.34666666666667,5.42666666666667,-1.80333333333333,-0.433333333333333,-3.53333333333333,2.89666666666667,-0.0833333333333329,1
33 EDTA val T0,5.18666666666667,5.38666666666667,-1.39333333333333,0.0666666666666669,-2.99333333333333,2.25666666666667,0.426666666666667,1
34 EDTA val T0,4.89666666666667,4.88666666666667,-1.48333333333333,-0.153333333333333,-3.49333333333333,1.60666666666667,0.0466666666666666,1
35 EDTA val T0,5.22,5.81,-2.46,-1.22,-4.78,2.46,-0.690000000000001,1
36 EDTA val T0,5.25666666666667,5.52666666666667,-1.83333333333333,-0.343333333333333,-2.54333333333333,1.93666666666667,-0.473333333333333,1
37 EDTA val T0,4.83,6.18,-2.24,-0.660000000000001,-2.61,3.15,0.0399999999999991,1
38 EDTA val T0,5.21,5.28,-3.67,-2.21,-4.61,1.54,-1.69,1
39 EDTA val T0,4.55333333333333,5.44333333333333,-2.06666666666667,-0.456666666666666,-3.17666666666667,1.93333333333333,0.363333333333334,1
40 EDTA val T0,5.44666666666667,5.54666666666667,-1.97333333333333,-0.463333333333332,-3.71333333333333,2.03666666666667,-0.843333333333332,1
8759 EDTA val T0,5.19666666666666,5.17666666666666,-2.76333333333334,-1.57333333333334,-3.97333333333334,2.19666666666666,-0.993333333333335,1
8760 EDTA val T0,5.16666666666667,5.37666666666667,-2.66333333333333,-1.38333333333333,-4.03333333333333,3.05666666666667,-0.143333333333334,1
8761 EDTA val T0,5.02333333333333,4.82333333333333,-3.04666666666667,-1.69666666666667,-4.26666666666667,2.10333333333333,-1.10666666666667,1
8762 EDTA val T0,5.17,4.81,-2.36,-1.21,-3.66,1.74,-0.61,1
8764 EDTA val T0,5.43333333333333,4.75333333333333,-2.07666666666667,-1.01666666666667,-3.71666666666667,2.56333333333333,-0.0166666666666669,1
8765 EDTA val T0,5.73333333333334,6.30333333333334,-3.07666666666666,-1.75666666666667,-4.34666666666666,2.51333333333333,-1.73666666666667,1
8766 EDTA val T0,6.26666666666667,6.43666666666667,-2.33333333333333,-1.22333333333333,-4.58333333333333,2.68666666666667,-0.0333333333333332,1
8767 EDTA val T0,5.13333333333333,5.36333333333333,-1.70666666666667,-0.576666666666666,-3.92666666666667,2.28333333333333,-0.0766666666666663,1
8819 EDTA val T0,5.37333333333333,4.64333333333333,-2.85666666666667,-1.65666666666667,-4.52666666666667,2.32333333333333,-0.706666666666667,1
8820 EDTA val T0,5.45,5.28,-2.75,-1.5,-3.64,2.46,-0.450000000000002,1
8821 EDTA val T0,4.61,4.05,-3.29,-2.03,-5.08,1.13,-1.74,1
